id,lon,lat,name,opening_hours,address,smoking,amenity
1290,21.4456656,41.9732771,Bass Cafe,,,,cafe
1291,21.4322415,41.9951965,Сектор909,,11 Октомври,,nightclub
1292,21.7265836,42.1355371,Lollipop,,,,bar
1293,21.4308204,41.9955477,Bocata,Mo-Su 08:00-23:00,Никола Вапцаров,,cafe
1294,21.4308588,41.9949424,Coffee Factory 2,Mo-Sa 08:00-01:00,Македонија,,cafe
1295,21.4323787,41.9958947,XO Club,,Плоштад Македонија,,nightclub
1296,21.4340509,41.9955386,Етно-бар,,Кеј 13 Ноември,outside,bar
1297,21.435389,41.9946394,Клуб „Привилиџ“,,ГТЦ,,nightclub
1298,21.4353642,41.9951381,Иридиум 77,,Кеј 13 Ноември,,nightclub
1299,21.4755669,41.9799593,Игротека Be Happy,,,,bar
1300,21.4868617,41.9834046,Игротека Вини Пу,Mo-Fr 09:00-18:00,Тодор Чангов 41,,bar
1301,21.4762981,41.9815558,Игротека Чекорче,,,,bar
1302,21.4542682,41.9901685,Игротека Тиквичка,,,,bar
1303,21.4440848,41.9754573,Игротека Смајли,,,,bar
1304,21.4534598,41.9885844,Палма,,,outside,cafe
1305,20.7321958,42.2151128,Karamel,,,,cafe
1306,22.5893701,42.0217484,Клиф,,,,cafe
1307,22.5892057,42.0218468,Delirium,Mo-Su 08:00-24:00,,outside,cafe
1308,22.5900047,42.021859,District Lounge Bar,Mo-Su 08:00-24:00,,outside,cafe
1309,20.9743998,41.8377412,Боси,,,,cafe
1310,21.4370632,42.0017629,Mon Frere,Mo-Su 08:00-23:00,,outside,cafe
1311,20.7967146,41.1118183,Кадмо-бар,,,,cafe
1312,22.3355446,42.2022003,Select Caffe,Mo-Su 08:00-01:00,Joakim Osogovski,isolated,cafe
1313,20.6825463,42.261262,Restaurant Noli,Mo-Su 08:00-23:00,,,cafe
1314,20.7204981,42.2256847,Gjini,,,,cafe
1315,20.9586946,41.5092313,Cross Roads,,Рудничка,,cafe
1316,21.6274047,41.9608168,Cafe-inn,,,,cafe
1317,20.801058,41.1135786,Cafe Experience,,,,cafe
1318,21.4368849,41.999241,Old Town,Mo-Su 10:00-22:00,,,cafe
1319,21.4358699,42.0000003,Nargile Cafe,Mo-Su 10:00-22:00,,,cafe
1320,21.4358296,41.9998288,Rakija Bar,,,,bar
1321,21.4330712,41.9958677,Telekom Trend Lounge Bar,Mo-Su 08:00-24:00,Кеј 13 Ноември,separated,cafe
1322,22.461401,41.638261,Ti-Amo,,Коста Сусинов,no,cafe
1323,22.462999,41.636975,Virus,,22 Октомври,no,cafe
1324,22.455839,41.632766,Diamond disco,,,,bar
1325,22.460143,41.639155,Escape,,,no,cafe
1326,20.7431418,42.2106357,Check-Inn Pub,,,,bar
1327,21.4306195,41.9944452,Bistro Skopje,Mo-Su 09:00-21:00,Македонија,separated,cafe
1328,21.430365,41.9938562,Gnezdo,Mo-Su 08:00-22:00,Македонија,,cafe
1329,21.4302256,41.9929701,Caffe Novo,Mo-Su 09:00-22:00,Македонија,,cafe
1330,21.4298707,41.9927362,Caffe Bar Dolce Vita,Mo-Su 09:00-21:00,Македонија,,cafe
1331,21.4293734,41.9923772,Corsso,24-Jul,Даме Груев,,cafe
1332,22.4498719,40.9457297,Διατηρητέο,,,,cafe
1333,21.3909265,42.0041936,Trend Food Bar,08:00-00:00; Fr-Sa 08:00-01:00,,separated,cafe
1334,21.4273688,42.0062927,Брик бар,09:00-01:00,ул.1732,,bar
1335,21.334101,41.0273541,Cocktail Bar - Uno Mars,8:00 - 00:00,,outside,cafe
1336,21.415006,42.0038265,The Gallery,Mo-Th 07:30-24:00  Fr 07:30-01:00  Sa 08:00-01:00  Su 08:00-24:00,,,cafe
1337,21.4151255,42.0039722,MonAmi,,,,cafe
1338,21.415173,42.0040547,Жапон Кафе Бар,07:30 - 23:30,,,cafe
1339,21.4146731,42.0042809,Cafe Bela,09:00 - 00:00,,,cafe
1340,22.3361554,42.2070665,Santa-Fe / Санта Фе,09:00-01:00,Свети Јоаким Осоговски,isolated,nightclub
1341,22.7738953,41.9665385,Sky Coffee,,Светозар Марковски,outside,bar
1342,22.7757541,41.9669895,Apolon,,Н. Ј. Вапцаров,outside,bar
1343,22.7773408,41.9671407,Валиум,,бул. Македонија,outside,bar
1344,22.7760968,41.9670793,City Club,,Н. Ј. Вапцаров,,nightclub
1345,22.7757929,41.9669685,Apolon,,Н. Ј. Вапцаров,,cafe
1346,22.7772992,41.9671423,Валиум,,бул. Македонија,,cafe
1347,22.7729153,41.9664254,River - Night Club,,,,nightclub
1348,20.9633055,42.0060772,Amaretta (Red&Black),Mo-Su 07:00-23:30,Ѓорче Петров,yes,cafe
1349,21.4127725,41.999411,Концепт37,,,,cafe
1350,22.705272,41.4404325,Национал,,,,cafe
1351,21.4240507,41.9979568,Balet,23:00-05:00,Булевар Партизански Одреди,,nightclub
1352,20.8027449,41.1126013,Connect,,,,bar
1353,20.8021988,41.1124655,Mojito,,,,cafe
1354,21.7829849,41.717722,Капри Кафе,,,,cafe
1355,21.7833196,41.717557,Езе Бар,,,,bar
1356,20.7407203,42.2093343,Corner 2,,,,cafe
1357,21.2977937,42.151594,kafiteri,,,,cafe
1358,21.2971155,42.1504048,Art cafee,,,,cafe
1359,21.2977915,42.150716,Royal,,,,cafe
1360,21.2975087,42.1506046,Relax,,,,cafe
1361,21.2953304,42.1497647,Daci,,,,cafe
1362,21.4171739,41.9937283,Авантура,,,,cafe
1363,22.7959941,41.2535112,Small bar,,,,bar
1364,22.8397912,41.2618235,Basaki,,,,cafe
1365,22.8399988,41.2619171,Da Iouz,,,,cafe
1366,22.8400819,41.2619602,Prestige,,,,cafe
1367,20.9619853,41.999321,Riva Caffè,Mo-Su 10:00-22:00,,,cafe
1368,22.5058453,41.886544,Pancir Cafe,,Кочо Рацин,,cafe
1369,22.50587,41.8865523,Панцир Кафе,,Кочо Рацин,,cafe
1370,22.5103667,41.8881131,Bife Mal Minhen,24-Jul,,,bar
1371,21.6276146,41.9610488,Cakes & Bakes,24-Jul,,outside,cafe
1372,20.971694,42.0073312,Maroon Bar,,,,cafe
1373,20.978648,41.8450656,Рина,,,,cafe
1374,22.5980654,40.9915835,O Hristos,,,,cafe
1375,22.6796385,42.2763909,ABC,,,,cafe
1376,21.3862677,42.004606,Ch2pter,09:00-23:45; Fr-Sa 09:00-23:45,Љубљанска,separated,cafe
1377,22.5737319,40.9929555,Zeno,,,,cafe
1378,21.3990452,42.0151641,Tonnis Bakeri,,,outside,cafe
1379,20.6909594,42.1774933,Pavin Caffe,,,,cafe
1380,21.404147,42.0137478,Coffeeshop Company lounge,,,,cafe
1381,20.9079995,41.7939504,Liquid,,,,cafe
1382,21.3418406,42.0433297,Makreshanki,,,,cafe
1383,21.4168806,41.9984995,Belier,,Владимир Полежановски,,cafe
1384,22.1932005,41.7370604,Тафката,,,,cafe
1385,22.1938869,41.73738,Vami Cafe 1,,,,cafe
1386,20.7436837,42.2165781,Medium Mobile Phone Center,Mo-Sa 07:00-23:00; Su,Nijazi Alishani,,bar
1387,21.3910392,42.0048738,Juicy and Co,,,,cafe
1388,20.9049674,41.8009922,Dani,,,,cafe
1389,20.7328602,42.2202236,Kaisi coffee bar,,,,cafe
1390,20.989483,42.0040789,Aksaraj,,,,cafe
1391,20.7912119,41.1122617,Пантелејмп,,,,bar
1392,20.8982089,41.8060047,Чајџилница кај Басто,24-Jul,Млаки 2,,cafe
1393,20.9113126,41.7929887,Чајџилница кај Гоце ,24-Jul,Димитар Влахов,,cafe
1394,21.4366103,41.9994358,Clique Bar,24-Jul,,,cafe
1395,21.3981384,42.0033204,Prikazna,,,,cafe
1396,20.8840093,41.8299622,Elfat,,,,cafe
1397,20.8857573,41.8413949,Nebi,,,,cafe
1398,21.7041267,42.1375281,adra,Mo-Fr,Србо Томовиќ,,bar
1399,21.9625292,40.8754525,"THE HUB"" Music Bar_estd.1985",Mo-Su 07:00-23:00,Κερασιά,outside,bar
1400,22.1958272,41.7389273,Кафе-Бар Марсеј,,,,bar
1401,22.1957213,41.7388923,Нова Кафе,,,,cafe
1402,22.1952544,41.7372052,Кафе-Бар Симбол,,,,cafe
1403,22.572406,40.9939798,Playroom,,,,cafe
1404,21.441738,41.99462,samocod,,,,bar
1405,22.1956835,41.7382123,Сајбер,,,,cafe
1406,21.2151752,41.5064312,Dominus,,,,nightclub
1407,21.257459,42.2287856,Tropical,,,,bar
1408,21.3602983,42.0110921,КАМИН КАМА,Mo-Su 10:00-00:00,Лука Геров,,bar
1409,21.4448074,41.9728434,Гет Кафе,Mo-Su 10:00-00:00,Христо Татарчев,,cafe
1410,21.4363148,41.9996587,tavce gravce,,,,bar
1411,21.4367578,41.9999897,beer cafe,,,,bar
1412,22.5725767,40.9939061,Jolie,,,,cafe
1413,20.6605866,40.9021056,Ledio,,,,cafe
1414,20.6588585,40.9027042,Summer longue,,,,bar
1415,21.3355792,41.0288234,Millennium Cafe,,,,cafe
1416,21.3357344,41.0285753,Игучи,,,,cafe
1417,21.3361237,41.0281914,Конект,,,,bar
1418,21.3359033,41.0285254,Ин Кафе,,,,cafe
1419,21.3359314,41.0284799,Portal 2 Cafe,,,,cafe
1420,21.3367381,41.0240108,јагода,,,,cafe
1421,20.7393765,42.2093809,Prince Café,,,,cafe
1422,20.7411072,42.2084562,BarAca,,,,bar
1423,20.7371256,42.2156852,cream,24-Jul,,,cafe
1424,21.0227132,42.2380165,City Caffe,,,,cafe
1425,20.9518032,42.0012645,Беко Кафе,Mo-Su 10:00-22:00,"Street ""146""",,cafe
1426,20.7984934,41.116952,Çajtorja Luan,,,,cafe
1427,20.9685294,41.8333963,Алфа,,,,cafe
1428,20.6931359,42.0540884,Pele,,,,cafe
1429,20.9080722,41.7932482,Loune Bar Fantastica,24-Jul,,,bar
1430,21.0116539,41.0893491,Таверна Џез,,,,cafe
1431,21.7870287,41.7138225,Kafe slatkarnica Turist,,,,cafe
1432,22.5047905,41.140319,Бариста,Mo-Su 09:00-01:00,,,cafe
1433,20.9268824,41.9405207,Cine 501,,101,,cafe
1434,20.9267987,41.9403239,Sharr 71,,101,,cafe
1435,20.9277266,41.9427811,Mujo,,,,cafe
1436,21.2795514,42.0436939,БАМИЛА,,Gorno Svilare,,cafe
1437,20.7383936,42.2099106,Fellas Coffee,,,,cafe
1438,21.7055087,42.1322787,eliba lounge bar,24-Jul,jna,,bar
1439,21.7176862,42.1343433,city,,,,bar
1440,20.9103122,41.7926594,Kaçamaku,Mo-Su 10:00-01:00,,,cafe
1441,21.7686668,41.7098459,Дома,,Александар Несторов,,cafe
1442,22.1958775,41.7389458,Кафе бар Карма,,,,bar
1443,22.0113116,41.4358281,Лего,,Илинденска,,cafe
1444,22.6863777,42.2780223,Млечен бар,,,,bar
1445,21.3570392,42.3193245,Liburna,,,,cafe
1446,21.3572741,42.3187866,Rio,,,,cafe
1447,21.3570828,42.3192292,Bar'on,,,,cafe
1448,20.915975,40.9383195,Beach Summer Club Bar Delirium,,,,bar
1449,21.5137772,42.027601,Лав Фонтана,,,,cafe
1450,20.7398002,42.2089492,X-Bar,,,,cafe
1451,20.7396877,42.2089549,Corner,,,,cafe
1452,20.6535473,42.0617861,Valerie,,,,cafe
1453,21.0324373,42.181662,Fox,,,,cafe
1454,20.7413281,42.2107327,koha,,,,bar
1455,22.0618717,40.9747703,Vibe Cafe-Bar,24-Jul,Ίωνος Δραγούμη,,cafe
1456,21.4264446,42.0068068,Bar Reka,,,,bar
1457,21.3337145,41.0286733,Порта Џез,Mo-Sa 08:00-01:00; Su 09:00-01:00,Кирил и Методиј,,bar
1458,20.7393766,42.2086858,Porta Prizren,Mo-Su 08:00-23:30,Pushkataret,,bar
1459,20.7412723,42.208435,Ora,,,,bar
1460,20.741227,42.2085073,Qarshia,,,,bar
1461,20.7413811,42.2082038,Morea,,,,bar
1462,20.7434593,42.2167483,Koha,,,,cafe
1463,20.9713496,42.0075938,Garden,,,,cafe
1464,20.959919,41.9916981,M House,,,,cafe
1465,20.9718414,42.0073693,Barcode,Mo-Su 08:00-23:55,,,cafe
1466,20.9721424,42.0072505,Tantra,,,,cafe
1467,20.9602672,41.9913951,Ultra,,,,cafe
1468,20.927576,41.9386572,Sinican,,102,,bar
1469,21.4235498,42.00231,Speakeasy,,,,bar
1470,20.7214211,42.2262724,Troy Bytyçi,,Gani Saramati,,cafe
1471,20.7384876,42.2158197,Street Cafe,,,,cafe
1472,21.3561791,42.3190333,TriBar,Mo-Su 07:00-23:00,Adem Jashari,,cafe
1473,21.4271773,41.9954521,Крин,,,,cafe
1474,20.676301,40.8871476,"Bar ""Mukja""",Mo-Su 05:00-23:00,Rruga e Korces,,bar
1475,20.9467534,41.9158317,саранда,Mo-Su 07:00-23:00,,,cafe
1476,20.9608123,41.992301,Ток 2000,Mo-Sa 07:00-19:00,Илинденска,,cafe
1477,20.7334831,42.2151087,Caffe Bar Troy,,,,bar
1478,21.4061819,42.0062605,Minus Eden,Tu-Sa 00:00-04:00,,,bar
1479,20.7312377,42.2180349,Pastiçeria MEKA,,Brigada 125,,cafe
1480,21.4207487,42.007769,Летен клуб „Батлер“,,,,nightclub
1481,21.4211163,42.0074138,Летен клуб „Копакабана“,,,,nightclub
1482,21.4209543,42.0081867,Летен клуб „XL“,,,,nightclub
1483,20.9791319,42.0088358,Симпл Кафе,,,,cafe
1484,20.9737785,42.0100645,Стори Кафе,,,,cafe
1485,20.9740134,42.0100196,Репаблик Кафе,,,,cafe
1486,20.7166653,42.207005,lulebora,,,,cafe
1487,21.041931,42.0609612,Елита Кафе,,,,cafe
1488,20.7248532,42.1086709,Imbiss,Mo-Su 08:00-22:00,,,cafe
1489,20.479083,41.5879318,Bar Kafe,,,,cafe
1490,22.4648163,41.6341662,Coffe House Downtown,,,outside,cafe
1491,20.7261569,42.1078701,Albini,Mo-Su 06:00-00:00,,,cafe
1492,22.5803268,41.000015,Verano,,,,bar
1493,21.4206127,42.0068653,Епицетар,WE-Su 23:45-05:00,,outside,nightclub
1494,21.4228536,42.0079675,Летен клуб „Централ парк“,WE-Su 23:45-05:00,,outside,nightclub
1495,22.1959414,41.738556,Кофи Лаб,Su-Th 08:00-00:00; Fr-Sa 08:00-01:00,Кеј Маршал Тито,,cafe
1496,20.7404801,42.2098678,Queen,,,,cafe
1497,20.7404283,42.2084088,Shendeti,,,,bar
1498,20.4730945,41.5868661,Bar Kafe Lazri,,,,cafe
1499,21.4378942,42.0131776,Te Flladi,Mo-Su 06:00-02:00,Џон Кенеди,,cafe
1500,22.0622593,40.9740225,Coup,,,,cafe
1501,21.4375923,42.0011325,Shisha,Mo-Su 10:00-22:00,,,cafe
1502,21.4378235,42.001291,Syri,,,,bar
1503,20.9798693,42.0087006,Били Кафе,,,,cafe
1504,21.4211669,42.0004422,Papillon,,,,bar
1505,22.3330398,42.1999191,Дискотека ВИП,Sa 11:30-05:00; Fr 11:30-05:00,Свети Јоаким Осоговски,,nightclub
1506,20.8636388,41.9439294,Kafe te mullajni,,,,bar
1507,20.7303008,42.2192199,Caffe Bar “Chill”,,Brigada 125,,cafe
1508,21.4192046,41.9927714,Изи,,,,cafe
1509,20.7393081,42.2081675,Kafja Jeme,Mo-Su 09:00-01:00,,outside,cafe
1510,20.8050459,42.1376071,Feho Comerc,,Gumence,,bar
1511,20.8059198,42.1378216,Caffe Nedžo,,Gumence,,bar
1512,20.6630646,42.1962806,Te Balia,24-Jul,prizren Vlashnje,,cafe
1513,21.4216953,42.0013652,Laika,,,,cafe
1514,21.4216722,42.0021654,Kaldrma,,,,bar
1515,21.4217791,42.0022762,Van Gogh,,,,bar
1516,21.4230134,41.9958526,Еу ејџ,,,,cafe
1517,21.4444199,41.9768128,63,,,,cafe
1518,21.3688665,42.0078535,Hazard Club,,,,bar
1519,21.410801,42.005228,Tesla Bar,,,,bar
1520,20.736649,42.2155977,Khave Madeni,,Zahir Pajaziti,,cafe
1521,21.3991821,42.0034483,Giovani,,,,cafe
1522,21.4290413,41.9947622,Centar Bar,Mo-Su 09:00-23:00,,,bar
1523,20.6692024,40.9010543,Bar Eleven,,,,cafe
1524,20.6688011,40.9010786,People,,,,cafe
1525,20.6689798,40.9010717,Fenix,,,,cafe
1526,20.6687759,40.9009316,Ambient per femije,,Mihal Ballkameno,,cafe
1527,21.4711307,41.9830723,Coffeelix,Mo-Su 09:00-00:00,Булевар Јане Сандански,,bar
1528,22.6382644,41.4372542,BU Coffee to go,,,,cafe
1529,21.704157,42.1373364,Kumanovo,24-Jul,Србо Томовиќ,,bar
1530,20.6130027,42.0912408,Bacevec,Mo-Su 08:00-23:00,Kuacevci,,cafe
1531,21.4268797,42.0007066,Thirio,,Булевар Илинден,,bar
1532,21.4218407,42.0023198,Кахава,,,,cafe
1533,20.6685397,41.9443275,poslastičara,Mo-Su 07:00-23:00,strecelo (sredselo),,cafe
1534,20.6693539,41.943672,ambeltore,Mo-Su 06:00-21:00,jedrijač,,cafe
1535,21.2570769,42.2298329,Lagoon Lounge Bar,,Korza-1,,cafe
1536,20.8909814,41.8649667,Kafe Bar “Bonton”,,,,cafe
1537,20.6616321,40.8997168,Bossi,,,,cafe
1538,21.4253762,41.9986406,Mikel,,Булевар Партизански Одреди,,cafe
1539,22.6383287,41.4403734,Conept Cafe,,,,cafe
1540,21.4181784,42.0087916,Централ Парк,,,,cafe
1541,20.7419436,42.2086908,Konaku,Mo-Su 08:00-23:00,,,cafe
1542,21.423451,42.0002331,Radio bar,,,,bar
1543,21.7279322,42.132763,Rafaela,,,,cafe
1544,21.4264143,41.9922468,DejaVu,,,,cafe
1545,21.4266738,41.9922273,Istanbul,,,,cafe
1546,21.3885778,42.0229571,AvAv Dog Park,,,,cafe
1547,20.7404049,42.2087088,Soho,,,,bar
1548,21.553795,41.3460965,The Summer Gallery House Pub,08:00-01:00,,,cafe
1549,21.4661079,41.9937893,Bar,,,,bar
1550,21.7128683,42.1331153,Relax,,,,cafe
1551,21.712736,42.1333648,Donita,,,,cafe
1552,20.9632819,41.5129092,Kvadrat,,,,cafe
1553,21.5548027,41.3462162,Alfa1,,,,cafe
1554,21.2954889,41.9584413,Fresh,,,,cafe
1555,21.4341981,42.0128215,Kandi,Mo-Su 07:15-00:00,,,cafe
1556,20.9714342,42.0075662,Irish Pub,Mo-Su 09:00-01:00,ул. Дервиш Цара  (ЈНА),yes,cafe
1557,21.4614608,42.002646,Ле Петит,Mo-Su 08:00-01:00,,,bar
1558,21.55497,41.346541,Кафеин,,,,cafe
1559,20.9600276,41.5129834,Romanse,,,,cafe
1560,20.8071883,41.1073742,Liquid,,,,cafe
1561,20.8066006,41.1080463,Pardise,,,,bar
1562,20.6735202,40.900543,Kafe Ani,,,,cafe
1563,20.6637337,40.9016905,Max Lloto,,Dëshmorët e Pojskës,outside,cafe
1564,20.6638061,40.9016906,Eccobet,,Dëshmorët e Pojskës,,cafe
1565,20.6638356,40.9016905,De Paris,,Dëshmorët e Pojskës,,cafe
1566,20.6643426,40.9016399,Select,,,,cafe
1567,20.6617007,40.9018652,Sherlock,,,,bar
1568,20.6679466,40.9011463,Bulevardi,,,,cafe
1569,21.0343628,42.1827196,Bucan,Mo-Su 09:00-18:00,Rruga e Brezovicës,,cafe
1570,21.7173139,42.1325071,Julia,,,,cafe
1571,21.6999903,42.1395687,Mocha Caffe,,11-ти Ноември,,cafe
1572,21.4284228,41.9971825,Squeeze Me,Mo-Su 09:00-21:00,,,cafe
1573,21.4361778,42.0002555,k8,Mo-Su 10:00-22:00,,,cafe
1574,21.7241653,42.1381918,اخر نقطة تاع تران,,,,cafe
1575,21.428439,41.9970171,Manda Coffee Bar,Mo-Su 09:00-21:00,,,cafe
1576,21.4158769,42.0003534,Paladin M,,,,cafe
1577,21.4113199,41.9956401,Woodstock,,,,cafe
1578,22.5900747,42.0229302,Hawaii Lounge Bar,,,outside,bar
1579,21.3970638,42.0038026,Led Zeppelin,,,,cafe
1580,21.3994796,42.0030494,Sugarland,,,,cafe
1581,22.6481556,41.4327076,Кафе за носење - Стори,Mo-Su 08:00-00:00,Младинска,,cafe
1582,20.6798797,41.1742024,Metropolis,,Партизанска,,bar
1583,21.393778,42.004566,Krem,,,,cafe
1584,22.4569703,40.9469152,Αντίδοτο,,,,cafe
1585,20.7409803,42.2089606,"Baileys ""OAZA""",,,,bar
1586,22.5474449,40.988495,Memo,,,,cafe
1587,21.423008,42.0012294,fourplay,,Орце Николов,,cafe
1588,20.7332296,42.2176442,Qajtore Ardhmëria,24-Jul,,,cafe
1589,22.4123703,41.9157236,Кафе станица,,,,cafe
1590,22.1957776,41.7389133,Версај,,,,bar
1591,20.9059889,41.7926372,Кафе Клуб 97,,,,cafe
1592,22.9094271,40.869965,Sisters,,,outside,cafe
1593,22.9093197,40.8700886,Καφενείο,,Θεσσαλονίκης - Κιλκίς,yes,cafe
1594,21.4109206,42.0055109,Joy Café & Bakery (Karposh),,Никола Тесла,,cafe
1595,22.1920185,41.7434446,Night Club Clique,,,,nightclub
1596,20.6400758,40.9282387,Tikki Beach Bar,,,,bar
1597,20.7436168,42.2166479,Medium,,,,cafe
1598,21.4260361,41.9907255,Coffee O'Clock,,,,cafe
1599,21.4268984,41.9964359,Mr. Jack,,,,bar
1600,21.356369,42.3197637,Kolos Bar,,,,bar
1601,21.3562829,42.3199054,Times Bar,,,,bar
1602,20.9615869,42.0065846,Saccaria,,Штипска,,cafe
1603,22.2338614,41.4143541,Queen Maria,,,,cafe
